image,noise,method,hog_relative_error,cosine_similarity,runtime_seconds,runtime_trials_seconds,seed,noisy_image_sha256
Images\home.jpg,sp10,Method I,0.5674314167399057,0.839010793657959,0.041570599998522084,0.0415706,47,fc308ec78e4e7d6f9da70161b3154438994f953353b7bda629b80f5875197c67
Images\home.jpg,sp10,Method II,0.5666140186821689,0.8394742769261061,0.16048300000693416,0.160483,47,fc308ec78e4e7d6f9da70161b3154438994f953353b7bda629b80f5875197c67
Images\home.jpg,sp10,Method III,0.37611870376847106,0.9292673603395252,2.4608653000032064,2.4608653,47,fc308ec78e4e7d6f9da70161b3154438994f953353b7bda629b80f5875197c67
Images\lena.png,gaussian_20db,Sobel,0.22043338916743732,0.975704560470368,0.03577840000070864,0.0357784,48,38e9b177e755183da59af0a7d4d1f458ff4d4d0c6448964019ecb70edbb29890
Images\lena.png,gaussian_20db,Method I,0.10530909338010458,0.994454997425746,0.04127639999933308,0.0412764,48,38e9b177e755183da59af0a7d4d1f458ff4d4d0c6448964019ecb70edbb29890
Images\lena.png,gaussian_20db,Method II,0.105214272149738,0.9944649784680162,0.15853559999959543,0.1585356,48,38e9b177e755183da59af0a7d4d1f458ff4d4d0c6448964019ecb70edbb29890
Images\lena.png,gaussian_20db,Method III,0.10315813447166579,0.9946791996461775,1.277536900000996,1.2775369,48,38e9b177e755183da59af0a7d4d1f458ff4d4d0c6448964019ecb70edbb29890
Images\lena.png,sp5,Sobel,0.39889791002562236,0.9204402286915235,0.035565600002883,0.0355656,48,fa168099ca0952a4036a73d197018b25578db2115cd48fec6f5d81390b4785a7
Images\lena.png,sp5,Method I,0.30830030674995634,0.9524754604301943,0.04194419999839738,0.0419442,48,fa168099ca0952a4036a73d197018b25578db2115cd48fec6f5d81390b4785a7
Images\lena.png,sp5,Method II,0.3073103551588444,0.9527801728073093,0.1586299999980838,0.15863,48,fa168099ca0952a4036a73d197018b25578db2115cd48fec6f5d81390b4785a7
Images\lena.png,sp5,Method III,0.20170797578575367,0.9796569462525202,1.9631326000016998,1.9631326,48,fa168099ca0952a4036a73d197018b25578db2115cd48fec6f5d81390b4785a7
Images\lena.png,sp10,Sobel,0.5510372977769789,0.848178948237704,0.035511699999915436,0.0355117,48,f8d90c100aced087083e3018020ee2923d8b89b2ce9c837a8c76169c72a9526c
Images\lena.png,sp10,Method I,0.44515952749771953,0.9009164975432733,0.04171379999752389,0.0417138,48,f8d90c100aced087083e3018020ee2923d8b89b2ce9c837a8c76169c72a9526c
Images\lena.png,sp10,Method II,0.44507998895402606,0.9009519017206029,0.15897050000057789,0.1589705,48,f8d90c100aced087083e3018020ee2923d8b89b2ce9c837a8c76169c72a9526c
Images\lena.png,sp10,Method III,0.29570659787917103,0.9562788039864166,1.710433299995202,1.7104333,48,f8d90c100aced087083e3018020ee2923d8b89b2ce9c837a8c76169c72a9526c
