experiment,noise_scenario,noise_density,polynomial_order,n,h,algorithm,algorithm_name,gradient_RMSE,hog_error,cosine_similarity,runtime,iteration_count,final_residual,converged
n_analysis,saltpepper_5,5.0,3,32,1,3,Correntropy loss,0.8991260483335276,0.20273079717790748,0.9794501119379526,20.071069700003136,184,46.58695567325696,True
n_analysis,saltpepper_10,10.0,3,4,1,1,Direct squared loss,56.4351455984341,0.6633004430396339,0.7800162611326339,0.20823080000263872,1,33.0281970020938,True
n_analysis,saltpepper_10,10.0,3,8,1,1,Direct squared loss,18.820497768088813,0.631611638235556,0.8005333692314044,0.2292578000051435,1,46.52808821537224,True
n_analysis,saltpepper_10,10.0,3,16,1,1,Direct squared loss,6.662826848239138,0.5896283029653608,0.8261692321803983,0.24517639999976382,1,52.94830915018929,True
n_analysis,saltpepper_10,10.0,3,32,1,1,Direct squared loss,2.3225090890290563,0.6135220464812997,0.8117953492512108,0.2888937999960035,1,57.696415751814136,True
n_analysis,saltpepper_10,10.0,3,4,1,2,Iterative squared loss,61.458297013491865,0.667498091343491,0.7772231490273347,0.6330917000013869,29,33.09730977015681,True
n_analysis,saltpepper_10,10.0,3,8,1,2,Iterative squared loss,18.265192054251823,0.6314695350723383,0.8006231131464767,0.8740954999957466,41,46.53137954202781,True
n_analysis,saltpepper_10,10.0,3,16,1,2,Iterative squared loss,6.47270485445968,0.5899340268172945,0.8259889220108854,0.9899248000001535,39,52.95033721601194,True
n_analysis,saltpepper_10,10.0,3,32,1,2,Iterative squared loss,2.257330685182043,0.6139395273062697,0.8115391284160124,1.376664899995376,39,57.69822724767483,True
n_analysis,saltpepper_10,10.0,3,4,1,3,Correntropy loss,56.435145574649944,0.6633004430033448,0.7800162611567046,0.4150242999967304,3,33.03492067718646,True
n_analysis,saltpepper_10,10.0,3,8,1,3,Correntropy loss,13.362297308889818,0.565878188373253,0.8398909379662114,21.340241699996113,313,47.878425511797815,True
n_analysis,saltpepper_10,10.0,3,16,1,3,Correntropy loss,3.9420088813138645,0.4332605430992232,0.9061426508982005,17.73458479999681,225,55.40693496114565,True
n_analysis,saltpepper_10,10.0,3,32,1,3,Correntropy loss,1.3679697069781311,0.33207391963440713,0.9448634559503454,25.201167500003066,246,59.359927230252396,True
h_analysis,no_noise,0.0,3,8,1,1,Direct squared loss,0.0,0.0,1.0,0.2215278000003309,1,11.799816222170795,True
h_analysis,no_noise,0.0,3,8,2,1,Direct squared loss,0.0,0.0,1.0,0.21906039999885252,1,19.364334330161103,True
h_analysis,no_noise,0.0,3,8,3,1,Direct squared loss,0.0,0.0,1.0,0.21671359999891138,1,23.804116586987323,True
h_analysis,no_noise,0.0,3,8,4,1,Direct squared loss,0.0,0.0,1.0,0.21534970000357134,1,27.4015161905338,True
h_analysis,no_noise,0.0,3,8,1,2,Iterative squared loss,0.0,0.0,1.0,0.870544899997185,41,11.803426748749402,True
h_analysis,no_noise,0.0,3,8,2,2,Iterative squared loss,0.0,0.0,0.9999999999999999,0.8360198000009404,41,19.368164412095947,True
h_analysis,no_noise,0.0,3,8,3,2,Iterative squared loss,0.0,0.0,1.0,0.7964869999996154,41,23.808446807812047,True
h_analysis,no_noise,0.0,3,8,4,2,Iterative squared loss,0.0,0.0,0.9999999999999999,0.7531575000029989,41,27.40595297376867,True
h_analysis,no_noise,0.0,3,8,1,3,Correntropy loss,0.0,0.0,1.0,9.992397499998333,162,11.91497348646358,True
h_analysis,no_noise,0.0,3,8,2,3,Correntropy loss,0.0,0.0,1.0,10.948414299993601,195,19.73498276666809,True
h_analysis,no_noise,0.0,3,8,3,3,Correntropy loss,0.0,0.0,1.0,11.382037400006084,184,24.241494993042156,True
h_analysis,no_noise,0.0,3,8,4,3,Correntropy loss,0.0,0.0,1.0,13.668113400002767,310,27.941944199982423,True
h_analysis,saltpepper_5,5.0,3,8,1,1,Direct squared loss,13.374033193288373,0.6077255962457185,0.8153347998373517,0.21993630000361009,1,34.09172652698457,True
h_analysis,saltpepper_5,5.0,3,8,2,1,Direct squared loss,6.452820528755121,0.5616834199143516,0.8422558679003179,0.22046649999538204,1,36.996646645450404,True
h_analysis,saltpepper_5,5.0,3,8,3,1,Direct squared loss,4.1904897903085025,0.5310385439104975,0.8589990324448531,0.21501729999727104,1,39.30211542938123,True
h_analysis,saltpepper_5,5.0,3,8,4,1,Direct squared loss,3.077793399050866,0.5133606700208452,0.8682304112422176,0.21186860000307206,1,41.352016777703575,True
h_analysis,saltpepper_5,5.0,3,8,1,2,Iterative squared loss,12.979814305306162,0.6070729443380671,0.8157312201298066,0.8748504000031971,41,34.09463571961241,True
h_analysis,saltpepper_5,5.0,3,8,2,2,Iterative squared loss,6.263359867231335,0.5616940946529525,0.842249872019651,0.8240587000036612,41,37.00010535086693,True
h_analysis,saltpepper_5,5.0,3,8,3,2,Iterative squared loss,4.0670176541515595,0.5312824362822199,0.858869486453159,0.8010977000012645,41,39.306051910541385,True
h_analysis,saltpepper_5,5.0,3,8,4,2,Iterative squared loss,2.9866312999971676,0.5132936511496847,0.8682648138490621,0.7585516999970423,41,41.356198869810676,True
h_analysis,saltpepper_5,5.0,3,8,1,3,Correntropy loss,8.196157062060497,0.47619922308687845,0.8866171499668571,18.010809899999003,344,35.15930938377039,True
h_analysis,saltpepper_5,5.0,3,8,2,3,Correntropy loss,4.332038639900807,0.4430938527442329,0.901833918831666,12.784546700000647,195,38.03975814181202,True
h_analysis,saltpepper_5,5.0,3,8,3,3,Correntropy loss,2.917736250293478,0.4237407933776893,0.9102218700156429,11.8620923999988,197,40.33680590940938,True
h_analysis,saltpepper_5,5.0,3,8,4,3,Correntropy loss,2.2877473283251555,0.4119508555725857,0.9151482462984251,13.706016699994507,310,42.39827750763589,True
h_analysis,saltpepper_10,10.0,3,8,1,1,Direct squared loss,18.820497768088813,0.631611638235556,0.8005333692314044,0.2292578000051435,1,46.52808821537224,True
h_analysis,saltpepper_10,10.0,3,8,2,1,Direct squared loss,9.12309344478237,0.608105846276469,0.8151036398709739,0.22182800000155112,1,48.349941279801214,True
h_analysis,saltpepper_10,10.0,3,8,3,1,Direct squared loss,5.926628682325216,0.5983544598428885,0.8209859702021963,0.21483010000520153,1,49.9138087856985,True
h_analysis,saltpepper_10,10.0,3,8,4,1,Direct squared loss,4.330790903055389,0.5933330510252177,0.823977945289963,0.21271949999936623,1,51.36351058235024,True
h_analysis,saltpepper_10,10.0,3,8,1,2,Iterative squared loss,18.265192054251823,0.6314695350723383,0.8006231131464767,0.8740954999957466,41,46.53137954202781,True
h_analysis,saltpepper_10,10.0,3,8,2,2,Iterative squared loss,8.854657936581559,0.6085210938646879,0.8148510391696662,0.9001541999969049,41,48.35365541565049,True
h_analysis,saltpepper_10,10.0,3,8,3,2,Iterative squared loss,5.752078375845328,0.5988911915450438,0.8206646703540426,0.853970099997241,41,49.91789864550229,True
h_analysis,saltpepper_10,10.0,3,8,4,2,Iterative squared loss,4.203108870553476,0.5937372430237432,0.8237380431327244,0.790839599998435,41,51.36779306063171,True
h_analysis,saltpepper_10,10.0,3,8,1,3,Correntropy loss,13.362297308889818,0.565878188373253,0.8398909379662114,21.340241699996113,313,47.878425511797815,True
h_analysis,saltpepper_10,10.0,3,8,2,3,Correntropy loss,6.860350681956462,0.5412521228581465,0.853523069755437,15.681620499999553,278,49.65166977541906,True
h_analysis,saltpepper_10,10.0,3,8,3,3,Correntropy loss,4.587591047099802,0.5340817189652612,0.8573783587386937,11.787516599993978,197,51.19025088169014,True
h_analysis,saltpepper_10,10.0,3,8,4,3,Correntropy loss,3.4862193029962705,0.5242806320781844,0.8625649094191665,8.903386500001943,164,52.61278267779419,True
