image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,sobel_gradient_rmse,taylor_gradient_rmse,taylor_improvement_factor
Images/home.jpg,226,226,11,gaussian,20.0,20.005011503611815,,2.830285949649789,1.4625294256435248,1.9351993197705681
Images/home.jpg,226,226,11,gaussian,30.0,30.00501150361182,,0.8950150030465973,0.6358247329071471,1.4076442087340146
Images/home.jpg,226,226,29,saltpepper,1.0,,0.010004698880100242,8.289305564529972,1.2820829714632616,6.465498527813107
Images/home.jpg,226,226,29,saltpepper,5.0,,0.05000391573341687,18.47307364716609,4.782311862979916,3.86279150679548
Images/home.jpg,226,226,29,saltpepper,10.0,,0.10000783146683374,25.967352121895413,8.260930516743072,3.1433931164613185
Images/home.jpg,226,226,29,gaussian,10.0,10.013495630211022,,8.852780000842808,4.035449584731894,2.1937530911889627
Images/home.jpg,226,226,29,gaussian,20.0,20.01349563021102,,2.7994948427050623,1.4818641785669877,1.8891710071649532
Images/home.jpg,226,226,29,gaussian,30.0,30.01349563021102,,0.8852780000842809,0.6440321634216614,1.3745866283772397
Images/home.jpg,226,226,47,saltpepper,1.0,,0.010004698880100242,8.128497574007664,1.2883540787834786,6.309210882215667
Images/home.jpg,226,226,47,saltpepper,5.0,,0.05000391573341687,18.597740279697387,4.689686157083684,3.9656684171937275
Images/home.jpg,226,226,47,saltpepper,10.0,,0.10000783146683374,26.380428789080188,8.508569300645316,3.1004541253579982
Images/home.jpg,226,226,47,gaussian,10.0,10.0444035444984,,8.848860561035988,4.041491330606309,2.1895037839184157
Images/home.jpg,226,226,47,gaussian,20.0,20.0444035444984,,2.798255407010914,1.4848341169240866,1.8845575913945525
Images/home.jpg,226,226,47,gaussian,30.0,30.0444035444984,,0.8848860561035989,0.6238676914289453,1.4183873732534553
Images/girl.png,196,256,11,saltpepper,1.0,,0.009785554846938776,9.003744648185673,1.5961700330274222,5.640843056744061
Images/girl.png,196,256,11,saltpepper,5.0,,0.04858896683673469,20.659964401008196,4.880482243139913,4.2331809382255585
Images/girl.png,196,256,11,saltpepper,10.0,,0.09769610969387756,28.660196998615017,8.46329345064781,3.386411822506434
Images/girl.png,196,256,11,gaussian,10.0,10.000210992367716,,13.215539962897886,5.93327873714926,2.227358691266796
Images/girl.png,196,256,11,gaussian,20.0,20.000210992367716,,4.179120679173444,2.168566378764306,1.9271352355627653
Images/girl.png,196,256,11,gaussian,30.0,30.00021099236772,,1.3215539962897884,0.9255388572704786,1.4278752165924231
Images/girl.png,196,256,29,saltpepper,1.0,,0.009825414540816327,9.28742982871189,1.4009464532735971,6.629396724628494
Images/girl.png,196,256,29,saltpepper,5.0,,0.04858896683673469,20.488460832171167,4.937515491829754,4.149548667963473
Images/girl.png,196,256,29,saltpepper,10.0,,0.09751674107142858,28.72326958072414,8.612383739998174,3.3351126062028245
Images/girl.png,196,256,29,gaussian,10.0,10.016609497550675,,13.125949205672608,5.956997282334243,2.2034505949160375
Images/girl.png,196,256,29,gaussian,20.0,20.01660949755067,,4.1507895941603365,2.192285146316014,1.893362093492015
Images/girl.png,196,256,29,gaussian,30.0,30.016609497550675,,1.3125949205672605,0.9387968101196802,1.398167214053409
Images/girl.png,196,256,47,saltpepper,1.0,,0.009845344387755101,9.238924823530132,1.6129773988741545,5.727869981302174
Images/girl.png,196,256,47,saltpepper,5.0,,0.04886798469387755,20.465537058762663,4.986171309381182,4.1044592712364265
Images/girl.png,196,256,47,saltpepper,10.0,,0.09765625,28.76981985815261,8.729037921366684,3.2958752290135758
Images/girl.png,196,256,47,gaussian,10.0,10.04013867292144,,13.098541856080297,5.898309142105323,2.220728269831741
Images/girl.png,196,256,47,gaussian,20.0,20.04013867292144,,4.142122629226319,2.1757971769313853,1.9037264470892097
Images/girl.png,196,256,47,gaussian,30.0,30.04013867292144,,1.3098541856080295,0.9215846029748271,1.4213064990234086
Images/flower.jpg,147,256,11,saltpepper,1.0,,0.009991496598639456,10.003995812701904,1.6724858777949294,5.981512875846558
Images/flower.jpg,147,256,11,saltpepper,5.0,,0.05001062925170068,21.533535729314426,4.925020738137244,4.372273107921756
Images/flower.jpg,147,256,11,saltpepper,10.0,,0.09999468537414966,30.36571586855006,8.741901218783479,3.4735825890258396
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,13.547636769557517,6.112489545139461,2.2163860845096
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,4.284138910444746,2.3034478427948195,1.859881014386987
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,1.3547636769557518,0.9670437175563104,1.4009332281059619
Images/flower.jpg,147,256,29,saltpepper,1.0,,0.009991496598639456,9.714385657230913,1.4878265253622664,6.529246180004478
Images/flower.jpg,147,256,29,saltpepper,5.0,,0.05001062925170068,21.335696927539967,4.964946858861527,4.297265919263492
Images/flower.jpg,147,256,29,saltpepper,10.0,,0.09999468537414966,29.91641213251248,8.538281172220653,3.5037979575849176
Images/flower.jpg,147,256,29,gaussian,10.0,10.035193209090778,,13.477468657085298,6.157547065113604,2.188772333295457
Images/flower.jpg,147,256,29,gaussian,20.0,20.035193209090778,,4.261949804992037,2.31941498546475,1.8375106790724016
Images/flower.jpg,147,256,29,gaussian,30.0,30.035193209090778,,1.3477468657085299,1.0300858888741533,1.308383000160859
Images/flower.jpg,147,256,47,saltpepper,1.0,,0.009991496598639456,9.84117520398882,1.5514473010415843,6.343222355913617
Images/flower.jpg,147,256,47,saltpepper,5.0,,0.05001062925170068,21.557330042703363,5.149953609325302,4.18592703508403
Images/flower.jpg,147,256,47,saltpepper,10.0,,0.09999468537414966,30.076332982718625,8.597830898304508,3.498130323620307
Images/flower.jpg,147,256,47,gaussian,10.0,10.010443060042476,,13.495532686337693,6.133267028300218,2.2003823776245826
Images/flower.jpg,147,256,47,gaussian,20.0,20.010443060042476,,4.267662152607785,2.322590304465842,1.8374580072955562
Images/flower.jpg,147,256,47,gaussian,30.0,30.010443060042476,,1.3495532686337695,0.9754712780125214,1.3834884727548546
Images/clock.png,256,256,11,saltpepper,1.0,,0.0064849853515625,10.488982281950285,1.4035332211718246,7.473269690896895
Images/clock.png,256,256,11,saltpepper,5.0,,0.0313262939453125,23.22349233644717,4.819432178608953,4.818719607576308
