image,image_height,image_width,seed,noise_family,noise_level,achieved_snr_db,actual_impulse_density,normalization,method,method_label,hog_cosine_similarity,hog_relative_error,common_reference_cosine,common_reference_relative_error,clean_fidelity_cosine,clean_fidelity_relative_error
Images/flower.jpg,147,256,11,saltpepper,10.0,,0.09999468537414966,L2,C_taylor_robust,C: Taylor + Robust HOG,0.846334761949165,0.5543739496961341,0.846960610945359,0.5532438685690947,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,11,saltpepper,10.0,,0.09999468537414966,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.7146920434221308,0.7553912318849842,0.663305167721538,0.8206032321564515,1.0,0.0
Images/flower.jpg,147,256,11,saltpepper,10.0,,0.09999468537414966,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.77946526881248,0.6641306064347392,0.77946526881248,0.6641306064347392,1.0,0.0
Images/flower.jpg,147,256,11,saltpepper,10.0,,0.09999468537414966,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.8560196762602218,0.5366196488139792,0.8555028797636498,0.5375818453856376,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.7467582621928793,0.7116765245631358,0.7029562130351924,0.7707707661358543,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.7673015636860121,0.6822000239138108,0.7673015636860121,0.6822000239138108,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.7658308189147859,0.6843525130884415,0.7662906932570722,0.6836801982549179,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.7737540898213454,0.6726751224765932,0.7270102881195688,0.7389042047627364,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.785476583713404,0.655016665900206,0.785476583713404,0.655016665900206,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,10.0,10.008453502134998,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.7861232247817521,0.6540287076787772,0.7851196841945003,0.6555613103633354,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8309975060736541,0.5813819638178555,0.7802471173204789,0.6629523100186536,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.8303562773863122,0.5824838583406371,0.8303562773863122,0.5824838583406371,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8268903039214905,0.5884041061694295,0.8276979320646541,0.5870299275767048,0.9958695957306257,0.09088899019545052
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,0.8562427634961339,0.5362037607321165,0.8058552071729643,0.623128867633821,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,0.8492756876753162,0.549043372297618,0.8492756876753162,0.549043372297618,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,20.0,20.008453502134994,,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,0.8473202172617079,0.5525934902715998,0.8477230190739341,0.5518640791607583,0.9964446259240207,0.08432525216092002
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,L2,A_sobel_standard,A: Sobel + Standard HOG,0.8808625003631969,0.4881342021141472,0.8281850255803607,0.5861995810637349,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,L2,B_taylor_standard,B: Taylor + Standard HOG,0.9009951358720589,0.4449828404061108,0.9009951358720589,0.4449828404061108,1.0,0.0
Images/flower.jpg,147,256,11,gaussian,30.0,30.008453502134994,,L2,C_taylor_robust,C: Taylor + Robust HOG,0.8981129269961857,0.45141349781285783,0.8971982859048823,0.4534351422091614,0.9958695957306257,0.09088899019545052
