noise_family,noise_level,normalization,method,method_label,n_images,n_trials,hog_cosine_similarity_mean,hog_cosine_similarity_std,hog_cosine_similarity_ci95,hog_relative_error_mean,hog_relative_error_std,hog_relative_error_ci95,common_reference_cosine_mean,common_reference_cosine_std,common_reference_cosine_ci95,common_reference_relative_error_mean,common_reference_relative_error_std,common_reference_relative_error_ci95,clean_fidelity_cosine_mean,clean_fidelity_cosine_std,clean_fidelity_cosine_ci95,clean_fidelity_relative_error_mean,clean_fidelity_relative_error_std,clean_fidelity_relative_error_ci95
gaussian,10.0,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.8042950484219399,0.14012990795957864,0.11212727892001866,0.6589136067240079,0.33566254935456413,0.268585977415616,0.8025879451826942,0.13754002388838524,0.11005494006067262,0.6628135184393771,0.3314679560859477,0.2652296037746524,0.996169219214662,0.001702064001154959,0.0013619348487139255,0.08604580569794679,0.017584569115322336,0.014070585748553016
gaussian,20.0,L2,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.8576408412116194,0.14016079131714806,0.1121519907527644,0.5534420307432644,0.37103209179165736,0.29688750567510347,0.806654835669716,0.13129784139555783,0.10506015381101055,0.6588805734293469,0.3295657934694464,0.2637075566873654,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,20.0,L2,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.8637375755393376,0.1397685525566931,0.11183813437808196,0.5359553608634154,0.37220013017204784,0.297822131032205,0.8637375755393376,0.1397685525566931,0.11183813437808196,0.5359553608634154,0.37220013017204784,0.297822131032205,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,20.0,L2,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.8622876462517245,0.14014684162312763,0.11214082867284118,0.5393147350634743,0.37167532044977736,0.297402195795211,0.8616624061575573,0.13920756333151507,0.11138924950947271,0.5416519994843267,0.3693893011680091,0.2955729994062623,0.9947033047832937,0.0021015143513290814,0.0016815616969781282,0.10142976615976977,0.019143447029091196,0.015317947865495516
gaussian,20.0,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.864898869265332,0.14788390802962964,0.11833177117481444,0.5348421024312753,0.38456155703621164,0.30771333254678335,0.819184750496191,0.14115544536899613,0.11294787975265347,0.6315660820572176,0.341960895095864,0.27362570362362265,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,20.0,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.8701971854345989,0.14656968654925684,0.1172801749764144,0.5166804941866573,0.3792596052945038,0.30347088758682206,0.8701971854345989,0.14656968654925684,0.1172801749764144,0.5166804941866573,0.3792596052945038,0.30347088758682206,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,20.0,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.8693584487981098,0.14745311246128115,0.1179870629283518,0.5182754102514261,0.3800277352477993,0.3040855195577845,0.8684731110802298,0.1464128325766239,0.11715466565870188,0.5213906437303556,0.37744787739559055,0.30202120334448873,0.996169219214662,0.001702064001154959,0.0013619348487139255,0.08604580569794679,0.017584569115322336,0.014070585748553016
gaussian,30.0,L2,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.8979092427873425,0.14741566293945904,0.11795709706995716,0.4353729156183663,0.4196139136737888,0.3357610593078636,0.843255800887405,0.13629494532344233,0.10905866971723559,0.5872594538732551,0.3509362774574694,0.2808075052541771,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,30.0,L2,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.9044442878880744,0.1466486465761317,0.1173433561565482,0.4128094684300639,0.42103448099138535,0.3368977498985029,0.9044442878880744,0.1466486465761317,0.1173433561565482,0.4128094684300639,0.42103448099138535,0.3368977498985029,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,30.0,L2,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.9031668956426461,0.1467742209861332,0.1174438366114381,0.4178597724919577,0.41907902225985894,0.33533305703743505,0.9009039982927199,0.14613509562361335,0.11693242981162208,0.42867812375857967,0.41277209901680045,0.3302864673985868,0.9947033047832937,0.0021015143513290814,0.0016815616969781282,0.10142976615976977,0.019143447029091196,0.015317947865495516
gaussian,30.0,L2-Hys,A_sobel_standard,A: Sobel + Standard HOG,6,18,0.9032532234205007,0.1508884517702313,0.12073590687243452,0.41899466532898605,0.4261012171307734,0.3409519831780908,0.8536347464470259,0.14355071434740085,0.11486449410529775,0.5609081151152836,0.3602700613243415,0.2882760878163081,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,30.0,L2-Hys,B_taylor_standard,B: Taylor + Standard HOG,6,18,0.9068385716542541,0.15103300352615998,0.12085157236662772,0.401229807920986,0.42235652917146904,0.33795560876098574,0.9068385716542541,0.15103300352615998,0.12085157236662772,0.401229807920986,0.42235652917146904,0.33795560876098574,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,30.0,L2-Hys,C_taylor_robust,C: Taylor + Robust HOG,6,18,0.9057434021292138,0.15141737324250215,0.12115913219464916,0.40513523463838935,0.4214359596930566,0.3372189997659882,0.9041932200354288,0.1509706741615006,0.12080169848775466,0.41262816160473603,0.41732562334689277,0.3339300457043446,0.996169219214662,0.001702064001154959,0.0013619348487139255,0.08604580569794679,0.017584569115322336,0.014070585748553016
