experiment,method,algorithm,noise,target_snr_db,achieved_snr_db,seed,image,image_height,image_width,polynomial_order,n,h,common_pad,roi_height,roi_width,matched_clean_gradient_RMSE,hog_relative_error,cosine_similarity,runtime,runtime_trial_1,runtime_trial_2,runtime_trial_3,runtime_repeats,iteration_count,final_residual,converged,noise_sha256,hog_normalization,robust_hog,robust_weighting,robust_delta,robust_window,visualization_percentile,tol,max_iter,init_sigma,runtime_definition
gaussian_parameter_sensitivity,Correntropy loss,3,Gaussian SNR 30 dB,30,29.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,0.480672469738,0.223080584853,0.975117526331,12.8799667,12.8282313,13.2407302,12.8799667,3,245,28.0276268145,true,6ac9fb9a8cd662d8e84836c9800c96a2f55d7872b509b933d3860fb85d121f0f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,4,1,16,224,224,7.07730707588,0.389503878682,0.924143364248,0.221600399993,0.222277600013,0.219426199998,0.221600399993,3,1,6.50345048384,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,2.4132671985,0.352656236648,0.937816789378,0.225595299999,0.226259099989,0.225595299999,0.224131399998,3,1,13.4801028786,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,16,1,16,224,224,0.85866377831,0.363522476907,0.933925704393,0.254007299998,0.251332899992,0.254007299998,0.260971200012,3,1,20.19064126,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,32,1,16,224,224,0.302482850826,0.367077846097,0.932626927454,0.304703200003,0.305737100003,0.3011539,0.304703200003,3,1,28.0121719729,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,2,16,224,224,1.17941955841,0.371639773755,0.930941939283,0.2287564,0.228958899999,0.2287564,0.225756200001,3,1,20.451977079,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,3,16,224,224,0.770384913427,0.385622039876,0.925647821183,0.226697799997,0.226697799997,0.228293700013,0.223639200005,3,1,24.7318969361,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Direct squared loss,1,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,4,16,224,224,0.572699544915,0.389602213213,0.924105057732,0.225409400009,0.222819400005,0.225409400009,0.227301999999,3,1,28.2152944336,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,4,1,16,224,224,7.70682379308,0.390046249071,0.923931961795,0.654745199994,0.6774381,0.649653799992,0.654745199994,3,29,6.54035092507,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
gaussian_parameter_sensitivity,Iterative squared loss,2,Gaussian SNR 20 dB,20,19.9753214656,42,Images/cameraman.png,256,256,3,8,1,16,224,224,2.34196233838,0.352323859769,0.93793394892,0.926681199999,0.883040000001,0.926681199999,0.970498099996,3,41,13.4834600444,true,1242730848b41dfb506e3589900c06a5220280ed9afa6de7c9115c36ab22cb7f,L2-Hys,true,huber,2,5,95,0.001,500,,median of 3 noisy gradient-plus-HOG runs; solver setup and clean-reference computation excluded
