image_size,n,h,polynomial_order,algorithm,algorithm_name,noise_scenario,seed,repeat,runtime,iteration_count,final_residual,converged,common_pad
256,16,1,3,2,Iterative squared loss,saltpepper_10,42,1,1.15729090001,39,52.950337216,true,16
256,16,1,3,2,Iterative squared loss,saltpepper_10,42,2,1.1326363,39,52.950337216,true,16
256,16,1,3,2,Iterative squared loss,saltpepper_10,42,3,1.1673691,39,52.950337216,true,16
64,32,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.018430199998,39,66.5827727561,true,16
64,32,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.0175182999956,39,66.5827727561,true,16
64,32,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.0172478000022,39,66.5827727561,true,16
128,32,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.254766700004,39,63.0665150774,true,16
128,32,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.255344799996,39,63.0665150774,true,16
128,32,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.276157500004,39,63.0665150774,true,16
192,32,1,3,2,Iterative squared loss,saltpepper_10,42,1,0.674492200007,39,59.0456753775,true,16
192,32,1,3,2,Iterative squared loss,saltpepper_10,42,2,0.686688999995,39,59.0456753775,true,16
192,32,1,3,2,Iterative squared loss,saltpepper_10,42,3,0.711439200008,39,59.0456753775,true,16
256,32,1,3,2,Iterative squared loss,saltpepper_10,42,1,1.6412256,39,57.6982272477,true,16
256,32,1,3,2,Iterative squared loss,saltpepper_10,42,2,1.6600317,39,57.6982272477,true,16
256,32,1,3,2,Iterative squared loss,saltpepper_10,42,3,1.60210980001,39,57.6982272477,true,16
64,4,1,3,3,Correntropy loss,saltpepper_10,42,1,0.0195638000005,3,36.0273115225,true,16
64,4,1,3,3,Correntropy loss,saltpepper_10,42,2,0.017194,3,36.0273115225,true,16
64,4,1,3,3,Correntropy loss,saltpepper_10,42,3,0.0177037000103,3,36.0273115225,true,16
128,4,1,3,3,Correntropy loss,saltpepper_10,42,1,0.0929825000057,3,34.2063767859,true,16
128,4,1,3,3,Correntropy loss,saltpepper_10,42,2,0.0992145000055,3,34.2063767859,true,16
128,4,1,3,3,Correntropy loss,saltpepper_10,42,3,0.0924318000034,3,34.2063767859,true,16
192,4,1,3,3,Correntropy loss,saltpepper_10,42,1,0.241913199992,3,33.1766905643,true,16
192,4,1,3,3,Correntropy loss,saltpepper_10,42,2,0.246108199994,3,33.1766905643,true,16
192,4,1,3,3,Correntropy loss,saltpepper_10,42,3,0.248327900001,3,33.1766905643,true,16
256,4,1,3,3,Correntropy loss,saltpepper_10,42,1,0.453598800013,3,33.0349206772,true,16
256,4,1,3,3,Correntropy loss,saltpepper_10,42,2,0.451289699995,3,33.0349206772,true,16
256,4,1,3,3,Correntropy loss,saltpepper_10,42,3,0.4660133,3,33.0349206772,true,16
64,8,1,3,3,Correntropy loss,saltpepper_10,42,1,0.178488599995,58,52.7246269867,true,16
64,8,1,3,3,Correntropy loss,saltpepper_10,42,2,0.176274700003,58,52.7246269867,true,16
64,8,1,3,3,Correntropy loss,saltpepper_10,42,3,0.182308600008,58,52.7246269867,true,16
128,8,1,3,3,Correntropy loss,saltpepper_10,42,1,2.1149713,167,49.9701890941,true,16
128,8,1,3,3,Correntropy loss,saltpepper_10,42,2,1.8749637,167,49.9701890941,true,16
128,8,1,3,3,Correntropy loss,saltpepper_10,42,3,1.86877840001,167,49.9701890941,true,16
192,8,1,3,3,Correntropy loss,saltpepper_10,42,1,6.584308,163,48.1830440564,true,16
192,8,1,3,3,Correntropy loss,saltpepper_10,42,2,6.5553933,163,48.1830440564,true,16
192,8,1,3,3,Correntropy loss,saltpepper_10,42,3,6.5918089,163,48.1830440564,true,16
256,8,1,3,3,Correntropy loss,saltpepper_10,42,1,22.9983619,313,47.8784255118,true,16
256,8,1,3,3,Correntropy loss,saltpepper_10,42,2,22.9983407,313,47.8784255118,true,16
256,8,1,3,3,Correntropy loss,saltpepper_10,42,3,22.9147573,313,47.8784255118,true,16
64,16,1,3,3,Correntropy loss,saltpepper_10,42,1,0.205375300007,79,63.3818972719,true,16
64,16,1,3,3,Correntropy loss,saltpepper_10,42,2,0.203408199988,79,63.3818972719,true,16
64,16,1,3,3,Correntropy loss,saltpepper_10,42,3,0.207179299992,79,63.3818972719,true,16
128,16,1,3,3,Correntropy loss,saltpepper_10,42,1,3.4251733,196,59.1851410087,true,16
128,16,1,3,3,Correntropy loss,saltpepper_10,42,2,3.43704619999,196,59.1851410087,true,16
128,16,1,3,3,Correntropy loss,saltpepper_10,42,3,3.4158076,196,59.1851410087,true,16
192,16,1,3,3,Correntropy loss,saltpepper_10,42,1,7.36959819999,164,55.9628483701,true,16
192,16,1,3,3,Correntropy loss,saltpepper_10,42,2,7.3326651,164,55.9628483701,true,16
192,16,1,3,3,Correntropy loss,saltpepper_10,42,3,7.2946827,164,55.9628483701,true,16
256,16,1,3,3,Correntropy loss,saltpepper_10,42,1,20.8629206,225,55.4069349611,true,16
256,16,1,3,3,Correntropy loss,saltpepper_10,42,2,19.4316796,225,55.4069349611,true,16
256,16,1,3,3,Correntropy loss,saltpepper_10,42,3,19.4515207,225,55.4069349611,true,16
64,32,1,3,3,Correntropy loss,saltpepper_10,42,1,0.097207999992,43,67.829517684,true,16
64,32,1,3,3,Correntropy loss,saltpepper_10,42,2,0.0991043999966,43,67.829517684,true,16
64,32,1,3,3,Correntropy loss,saltpepper_10,42,3,0.0981930999988,43,67.829517684,true,16
128,32,1,3,3,Correntropy loss,saltpepper_10,42,1,3.3379841,166,64.6545650031,true,16
128,32,1,3,3,Correntropy loss,saltpepper_10,42,2,3.31767470001,166,64.6545650031,true,16
128,32,1,3,3,Correntropy loss,saltpepper_10,42,3,3.3150823,166,64.6545650031,true,16
192,32,1,3,3,Correntropy loss,saltpepper_10,42,1,9.4630167,184,60.7220663832,true,16
192,32,1,3,3,Correntropy loss,saltpepper_10,42,2,9.466549,184,60.7220663832,true,16
192,32,1,3,3,Correntropy loss,saltpepper_10,42,3,9.49918489999,184,60.7220663832,true,16
256,32,1,3,3,Correntropy loss,saltpepper_10,42,1,28.0812256,246,59.3599272303,true,16
256,32,1,3,3,Correntropy loss,saltpepper_10,42,2,28.1070164,246,59.3599272303,true,16
256,32,1,3,3,Correntropy loss,saltpepper_10,42,3,28.0129684,246,59.3599272303,true,16
